Key,Id,English(en),Korean(ko)
"Intro_01","","...zzzz bzzzt.. Hey! You! Awake?","…zzzz치지직.. 어이! 거기! 정신이 좀 들어?"
"Intro_02","","Glad you opened your eyes.","눈은 떠서 다행이네."
"Intro_03","","You were staring blankly out of the screen, I thought the system crashed.","멍하니 화면 밖만 쳐다보고 있길래 시스템 오류 난 줄 알았잖아."
"Intro_04","","I'm the dealer who 'manages' the scores around here.","난 이곳의 점수를 '관리'하는 딜러지."
"Intro_05","","You just need to bounce the ball.","넌 그냥 공이나 튕기면 돼."
"Intro_06","","I'll take care of the scores.","점수는 내가 알아서 챙길 테니까."
"Intro_07","","Don't you know the rules here? No matter how many points you score, without my 'approval', it's just zero.","이 바닥 룰 몰라? 네가 아무리 점수를 내도 내 '승인'이 없으면 그냥 0일 뿐이라고."
"Intro_08","","So... let's secure a little cut for me.","그러니까... 뽀찌 좀 챙기자고."
"Intro_09","","Well, if you feel it's unfair... try reaching Round 3 here.","뭐, 정 억울하면... 여기서 3라운드까지 도달해 보시든가."
"Intro_10","","Then I'll give you the 'full amount'.","그럼 '전액' 너한테 주지."
"Intro_11","","No time! Click anywhere on the [Screen] to start!","시간 없어! [화면] 아무 데나 클릭해서 시작해!"
"Intro_12","","Don't forget, pressing the Spacebar launches the ball!","스페이스바를 누르면 공이 발사되는거 잊지 말라고!"
"Round1_01","","Oh~ Not bad. You got fast fingers.","오~ 제법인데? 손가락이 아주 현란해?"
"Round1_02","","Good, good! This is enough to cover the first fee.","좋아, 좋아! 이 정도면 1차 수수료는 챙겼군."
"Round2_01","","What? You cleared... up to Round 2?","뭐? 2라운드까지... 클리어 했다고?"
"Round2_02","","...Hmm. How did you... do that?","...흠. 이게... 되네?"
"Round3_01","","Now, now! The final Round 3! (You'll never beat this)","자, 자! 마지막 3라운드다! (절대 못 깨겠지)"
"Round3_02","","!! You... beat Round 3?! No way!!","!! 3... 3라운드를... 깼다고?! 말도 안 돼!!"
"Ending1_01","","You actually broke the machine! The system is collapsing!","진짜로 기계를 고장 냈잖아! 시스템 붕괴 시작된다고!"
"Ending1_02","","Damn it! My money!!!! My cut!!!!!","이런 젠장! 내 돈!!!! 내 뽀찌!!!!!"
"Ending1_03","","Ah... no time for this!","아... 이럴 시간이 없지!"
"Ending1_04","","I forgot I had a data transfer part-time job~~","데이터 전송 알바 있었던 걸 까먹었네~~"
"Ending1_05","","Peace out!","20000!"
"Ending2_01","","Oops. Oh my... it's 'GAME OVER'.","어이쿠. 저런... 'GAME OVER'네."
"Ending2_02","","What a shame, what a shame.","아깝다, 아까워."
"Ending2_03","","You were moving your fingers so flashily... ran out of energy at the end?","그렇게 현란하게 손가락 놀리더니... 마지막에 힘이 빠졌어?"
"Ending2_04","","It's okay, it's okay. ... My money","괜찮아, 괜찮아. … 내 돈은"
"Ending2_05","","I mean, I'll keep the entry fee safe.","아니, 참가비는 내가 잘 보관하고 있을 테니까."
"Ending2_06","","I'll give you one more chance to restore your 'honor'!","네 '명예' 회복할 기회는 한 번 더 줄게!"
"Ending2_07","","Bring it on!","어디 덤벼보라고!"
"Tutorial_01","","Oh boy, judging by that look on your face, it's your first time here.","어이구, 표정을 보아하니 이 바닥이 처음인 모양이네."
"Tutorial_02","","I can't have you breaking my precious livelihood... I mean, the machine.","내 소중한 밥줄... 아니, 기계를 망가뜨리면 안 되니까."
"Tutorial_03","","So I'll 'kindly' walk you through the basic rules.","특별히 기본 룰을 아주 '친절하게' 알려주지."
"Tutorial_04","","Listen up. You bounce the ball with the flippers, send it up, and rake in the points.","잘 들어. 플리퍼로 공을 튕겨서 위로 올리고, 점수를 긁어모으는 거야."
"Tutorial_05","","Of course, a chunk of those points will be my 'commission'~","물론 점수의 일부는 내 '수수료'로 떨어지겠지만~"
"Tutorial_06","","Now, just follow the instructions on the screen.","이제 화면에 나오는 안내를 잘 따라 해봐."
"Tutorial_07","","Don't dawdle! My time is money!","시간 끌지 마! 내 시간은 곧 돈이라고!"
