Key,Id,English(en),Korean(ko)
"Sys_LobbyBGM","","Lobby BGM Volume","로비 BGM 음량"
"Sys_GameBGM","","Game BGM Volume","게임BGM 음량"
"Sys_SFX","","SFX Volume","효과음 음량"
"Sys_Effect","","Visual Effects","이펙트 효과"
"Sys_Language","","Language","언어 (Language)"
"Sys_Resolution","","Resolution","해상도"
"Sys_ScreenMode","","Display Mode","전체화면 창모드"
"Ctrl_Title","","Basic Controls","기본 조작"
"Ctrl_MoveBall1","","[A] [D] - Move Ball Left/Right","[A] [D] - 좌우 공 움직임"
"Ctrl_MoveBall2","","[Z] [/] - Move Left/Right","[Z] [/] - 좌우 움직임"
"Ctrl_Launch","","[Spacebar] - Launch Ball","[스페이스바] - 공 쏘아 올리기"
"Ctrl_Click","","[Left Click] - Select Roguelike Option","[좌클릭] - 로그라이크 선택"
"Ctrl_LimitTitle","","Game Limits","제한 사항 표시"
"Ctrl_Lives","","Ball Lives Remaining","공의 목숨 횟수"
"Ctrl_Hits","","Hits Remaining","공을 칠 수 있는 횟수"
"Tut_01","","Let's go over the basic controls.","기본조작법을 알려주겠습니다"
"Tut_02","","Press [Z] or [/].","z/Slash를 누르세요"
"Tut_03","","Hit 5 obstacles to enter the 2nd floor! Press any key to continue...","장애물 5개를 맞추면 2층 입장 가능! 아무키나 눌러서 계속..."
"Tut_04","","Press the Spacebar to launch the ball!","Spacebar를 눌러 공을 발사하세요!"
"Tut_05","","Click on an option to upgrade.","선택지를 눌러 강화를 해보세요"
"Tut_06","","Target score reached! Now, let the game begin.","목표점수에 도달했습니다! 이제 게임을 시작해보세요"
